257	2	13413	0.8927
682	0	8963	0.4615
2236	3	11665	0.7093
8444	2	4460	0.5259
10822	3	10822	0.5259
1483	0	558	0.7093
1493	0	8242	0.2450
8844	0	10380	0.7093
3773	0	12860	0.5296
1320	0	1564	0.4797
285	0	12658	0.3062
6788	0	13301	0.7093
1743	0	5324	0.3001
2756	0	1552	0.7093
2067	0	45	0.1794
6243	0	1477	0.2227
874	11	1447	0.5443
2114	0	1945	0.7093
5133	20	6389	0.7093
1608	0	3279	0.7093
2464	8	1548	0.7093
3316	2	3088	0.5259
1812	0	8304	0.7093
942	0	3264	0.7093
2214	3	2214	0.5259
2440	0	475	0.1104
912	9	947	0.8927
8765	0	5025	0.7093
8280	0	4929	0.7176
516	6	2051	0.5953
279	0	2731	0.3158
7968	5	1131	0.3425
1636	0	1522	0.4701
9635	3	5272	0.8927
11275	0	9415	0.7093
13815	3	8600	0.8927
1171	0	2679	0.7093
803	3	3755	0.8927
8783	14	11384	0.7093
831	0	5288	0.7093
6224	12	8140	0.5259
5941	0	1247	0.7093
247	0	11453	0.3446
529	0	1466	0.7767
5209	2	3422	0.5259
402	0	14004	0.2450
278	0	5204	0.7093
147	8	9973	0.9844
6438	5	4289	0.3425
8105	11	3182	0.8833
864	0	9415	0.8927
689	16	3618	0.7093
8529	0	187	0.7093
8873	2	4791	0.8927
1252	0	4093	0.1026
9736	14	6301	0.7093
13561	0	10490	0.7093
940	0	11841	0.2073
1618	3	5583	0.7093
2172	3	2172	0.5259
11393	4	5339	0.5259
2039	0	146	0.3942
6707	0	2679	0.7093
1738	0	3433	0.4772
9993	0	2689	0.7093
3630	0	12746	0.7093
2560	6	1921	0.2450
1435	0	7384	0.2656
9373	0	11121	0.7093
3202	0	3241	0.7093
7246	0	3498	0.7093
3649	0	5316	0.7093
263	0	1970	0.7140
6517	0	6995	0.1052
1582	9	1114	0.8927
2488	14	2647	0.7093
180	0	563	0.7093
5039	0	8876	0.7093
6004	0	7392	0.7093
8190	2	2006	0.8927
4613	5	5332	0.3425
798	5	1331	0.3425
1350	0	1626	0.4285
3033	0	9581	0.7093
5576	3	6077	0.7093
3268	0	12748	0.4292
5310	0	2009	0.7093
949	0	3737	0.3349
1259	2	4469	0.8927
1236	0	2245	0.8734
340	0	1925	0.2834
630	0	5877	0.2357
259	4	13241	0.7093
1420	24	4137	0.7093
5465	0	6060	0.7093
3651	0	10475	0.7093
201	0	8158	0.2055
12051	0	8363	0.7093
2873	3	2873	0.5259
2364	0	4657	0.7093
5266	2	5512	0.8927
2096	0	7905	0.5544
7534	2	2538	0.8927
1517	0	9769	0.3725
1957	0	7882	0.2951
2776	0	7986	0.7093
776	6	580	0.7421
1333	0	4796	0.1252
5755	0	8195	0.7093
1827	0	6976	0.7093
6677	0	5466	0.2628
1941	0	529	0.7093
6243	3	6243	0.5259
3478	2	201	0.8927
6623	0	5339	0.7093
914	0	13523	0.1871
4750	0	8274	0.1852
7110	0	1067	0.5259
8376	0	12011	0.7093
98	0	7226	0.1228
190	0	115	0.5501
9505	25	831	0.8927
12022	2	108	0.5259
2428	0	3834	0.7093
6977	0	7993	0.7093
1097	2	13688	0.8927
4694	5	1543	0.3425
2973	0	2122	0.7093
6813	0	10271	0.2860
1326	25	13128	0.8927
4510	4	2693	0.5259
676	0	2798	0.3261
1133	11	11601	0.1154
5721	0	2584	0.2309
10732	0	1569	0.7093
1554	14	5701	0.7093
8455	5	1216	0.3425
8345	0	6738	0.7093
9921	13	2062	0.7093
3445	0	6443	0.7093
10295	0	1342	0.7093
5766	0	829	0.7093
1965	0	320	0.3743
5324	0	892	0.1052
6242	0	3422	0.7093
5332	0	1327	0.7093
7213	2	422	0.8927
4264	0	5036	0.2177
5160	2	10654	0.8927
113	11	816	0.2388
2395	16	8364	0.7093
2764	0	11529	0.2143
1509	0	840	0.7093
1234	2	5392	0.5259
5247	0	5571	0.7093
2250	0	1499	0.3817
786	0	1872	0.7093
2705	0	866	0.7093
13149	0	4060	0.7093
5458	13	1691	0.8927
6740	0	7109	0.7093
12738	1	12913	0.8927
1128	2	437	0.7093
2647	0	9550	0.1204
877	0	4429	0.5937
1875	0	5459	0.7093
12434	2	6662	0.8927
2330	0	1384	0.3349
557	0	12638	0.7101
585	0	3834	0.7093
38	0	9719	0.3204
7922	0	1453	0.7093
6625	2	8121	0.8927
3620	2	6757	0.5259
273	0	318	0.6057
215	2	11402	0.8927
4540	0	7298	0.2210
641	0	975	0.2808
518	0	516	0.7093
1448	0	9105	0.2073
2873	23	9904	1.0000
2142	3	9006	0.7093
7067	0	862	0.7093
10508	0	1083	0.7093
7775	2	11358	0.7093
1420	0	3825	0.7093
7097	0	3625	0.3648
3287	9	8966	0.8927
8156	2	145	0.8927
9224	9	5534	0.8927
7817	3	7817	0.5259
